order_id,order_date,product,region,customer_id,price,quantity
1000,2025-05-12,Keyboard,SOUth,519,196.1293392302828,3.0
1001,2025-05-12,HEADPHONES,,514,1018.4327826227258,5.0
1002,2025-05-12,Laptop,north,506,942.494200538884,4.0
1003,2025-05-12,Laptop,north,501,,1.0
1004,2025-05-12,laptop,,507,1103.8258464312055,5.0
1005,2025-05-12,Headphones,East,517,1155.819633196047,1.0
1006,2025-02-06,Keyboard,,504,171.36994959841,2.0
1007,2025-08-22,Headphones,East,508,835.1906288191359,4.0
1008,2025-01-16,Headphones,South,515,839.5954837883079,3.0
1009,2025-10-25,Keyboard,East,519,366.81054405776854,3.0
1010,2025-03-04,Laptop,South,506,1000000.0,1.0
1011,2025-01-18,Monitor,North,507,624.6031566442447,4.0
1012,2025-05-04,laptop,South,504,56.28153773191476,1.0
1013,2025-02-16,Smartwatch,East,505,832.7944991079622,4.0
1014,2025-04-06,laptop,North,501,1044.9572268177603,4.0
1015,2025-08-25,laptop,West,513,53.15403570874059,2.0
1016,2025-10-13,Smartwatch,West,510,489.0198630254721,3.0
1017,2025-07-05,Headphones,North,503,,3.0
1018,2025-02-22,Smartwatch,North,516,513.5408585681563,4.0
1019,2025-01-29,Headphones,East,519,642.9854955370582,3.0
1020,2025-10-05,HEADPHONES,,508,55.37432607496979,
1021,2025-08-23,Monitor,South,513,146.3831570291327,4.0
1022,2025-01-14,Keyboard,,511,668.432123521975,3.0
1023,2025-09-27,Laptop,SOUth,500,170.24743560665587,4.0
1024,2025-01-12,laptop,South,504,72.10062018960254,2.0
1025,2025-05-07,HEADPHONES,SOUth,515,279.82494137248113,4.0
1026,2025-06-20,Keyboard,North,516,931.2423082795909,1.0
1027,2025-09-16,HEADPHONES,north,505,666.5038575388307,4.0
1028,2025-08-29,Keyboard,SOUth,506,292.99526375490643,2.0
1029,2025-10-23,HEADPHONES,East,512,414.62543987792503,4.0
1030,2025-04-16,Laptop,north,509,51.983805169335064,2.0
1031,2025-07-19,HEADPHONES,North,501,,5.0
1032,2025-01-05,Smartwatch,north,511,792.2609640991403,5.0
1033,2025-05-30,HEADPHONES,South,507,1075.7693872304121,2.0
1034,2025-08-08,Headphones,north,501,372.2696084580943,2.0
1035,2025-04-01,Keyboard,East,504,,4.0
1036,2025-08-12,Monitor,,520,558.0761271323179,3.0
1037,2025-02-18,laptop,North,515,652.2581534806524,1.0
1038,2025-02-23,Smartwatch,North,517,209.29584831103102,3.0
1039,2025-05-19,Laptop,North,518,801.1321941459333,3.0
1040,2025-06-30,Keyboard,North,514,1034.0019458250392,
1041,2025-08-02,Headphones,North,519,,2.0
